aac.sfsu.edu,SFS-d-aac-content-manager
"pt.sfsu.edu,www.pt.sfsu.edu",SFS-d-pt-content-manager
publichealth.sfsu.edu,SFS-d-publichealth-content-manager
qaservices.sfsu.edu,SFS-d-qaservices-content-manager
"queercinemaproject.sfsu.edu,queercinemainstitute.sfsu.edu",SFS-d-queercinemaproject-content-manager
"cms.sfsu.edu,registrar.sfsu.edu,www.registrar.sfsu.edu,testing.sfsu.edu",SFS-d-registrar-content-manager
"research.sfsu.edu,create.sfsu.edu",SFS-d-research-content-manager
reslife.sfsu.edu,SFS-d-reslife-content-manager
retire.sfsu.edu,SFS-d-retire-content-manager
rfsa.sfsu.edu,SFS-d-rfsa-content-manager
rivers.sfsu.edu,SFS-d-rivers-content-manager
"recdept.sfsu.edu,rpt.sfsu.edu",SFS-d-rpt-content-manager
rrs.sfsu.edu,SFS-d-rrs-content-manager
safezone.sfsu.edu,SFS-d-safezone-content-manager
"westernnoyce.sfsu.edu,secondaryed.sfsu.edu",SFS-d-secondaryed-content-manager
"convocation.sfsu.edu,senate.sfsu.edu",SFS-d-senate-content-manager
seo.sfsu.edu,SFS-d-seo-content-manager
sete.sfsu.edu,SFS-d-sete-content-manager
sfamp.sfsu.edu,SFS-d-sfamp-content-manager
sfbaynerr.sfsu.edu,SFS-d-sfbaynerr-content-manager
"shiftingperspectives.sfsu.edu,reclaimingnature.sfsu.edu,sfbuild.sfsu.edu",SFS-d-sfbuild-content-manager
sfsuais.sfsu.edu,SFS-d-sfsuais-content-manager
sierra.sfsu.edu,SFS-d-sierra-content-manager
"slhs.sfsu.edu,comdis.sfsu.edu",SFS-d-slhs-content-manager
"sxs.sfsu.edu,sociology.sfsu.edu,socsxs.sfsu.edu",SFS-d-socsxs-content-manager
socwork.sfsu.edu,SFS-d-socwork-content-manager
sped.sfsu.edu,SFS-d-spedcd-content-manager
sss.sfsu.edu,SFS-d-sss-content-manager
studentsuccess.sfsu.edu,SFS-d-studentsuccess-content-manager
sustain.sfsu.edu,SFS-d-sustain-content-manager
techgovernance.sfsu.edu,SFS-d-techgovernance-content-manager
"theatredance.sfsu.edu,theatre.sfsu.edu,www.theatre.sfsu.edu",SFS-d-theatredance-content-manager
titleix.sfsu.edu,SFS-d-titleix-content-manager
transfer.sfsu.edu,SFS-d-transfer-content-manager
transforms.sfsu.edu,SFS-d-transforms-content-manager
tutoring.sfsu.edu,SFS-d-tutoring-content-manager
tviomfriends.sfsu.edu,SFS-d-tviomfriends-content-manager
ucorp.sfsu.edu,SFS-d-ucorp-content-manager
"ueap.sfsu.edu,lac.sfsu.edu,carp.sfsu.edu,exco.sfsu.edu,ugs.sfsu.edu,wasc.sfsu.edu",SFS-d-ueap-content-manager
"universityenterprises.sfsu.edu,realestate.sfsu.edu,red.sfsu.edu,ue.sfsu.edu",SFS-d-universityenterprises-content-manager
"univpark.sfsu.edu,efh.sfsu.edu",SFS-d-univpark-content-manager
upd.sfsu.edu,SFS-d-upd-content-manager
veterans.sfsu.edu,SFS-d-veterans-content-manager
viprogram.sfsu.edu,SFS-d-viprogram-content-manager
vpsaem.sfsu.edu,SFS-d-vpsaem-content-manager
"cease.sfsu.edu,wellness.sfsu.edu",SFS-d-wellness-content-manager
wgsdept.sfsu.edu,SFS-d-wgsdept-content-manager
